Fact,Category
Geneva ( jin-EE-və; French: Genève [ʒənɛv] (listen); Arpitan: Genèva [dzəˈnɛva] (listen); German: Genf [ɡɛnf] (listen); Italian: Ginevra [dʒiˈneːvra]; Romansh: Genevra) is the second-most populous city in Switzerland (after Zürich) and the most populous city of Romandy the French-speaking part of Switzerland. Situated where the Rhône exits Lake Geneva it is the capital of the Republic and Canton of Geneva.,LOCATION
The Museum of Pop Culture or MoPOP (previously called EMP Museum) is a nonprofit museum dedicated to contemporary popular culture. It was founded by Microsoft co-founder Paul Allen in 2000 as the Experience Music Project. Since that time MoPOP has organized dozens of exhibits 17 of which have toured across the US and internationally.,LOCATION
Latium ( LAY-shee-əm US also  -⁠shəm Latin: [ˈlat̪i.ʊ̃ˑ]) is the region of central western Italy and the entirety of Vatican City in which the city of Rome was founded and grew to be the capital city of the Roman Empire. Latium was originally a small triangle of fertile volcanic soil on which resided the tribe of the Latins or Latians. It was located on the left bank (east and south) of the River Tiber extending northward to the River Anio (a left-bank tributary of the Tiber) and southeastward to the Pomptina Palus (Pontine Marshes now the Pontine Fields) as far south as the Circeian promontory.,LOCATION
Skibo Castle (Scottish Gaelic: Caisteal Sgìobail) is located to the west of Dornoch in the Highland county of Sutherland Scotland overlooking the Dornoch Firth. Although largely of the 19th century and early 20th century when it was the home of industrialist Andrew Carnegie its origins go back much earlier.,LOCATION
Australia officially the Commonwealth of Australia is a sovereign country comprising the mainland of the Australian continent the island of Tasmania and numerous smaller islands. It is the largest country in Oceania and the world's sixth-largest country by total area. The population of 26 million is highly urbanised and heavily concentrated on the eastern seaboard.,LOCATION
Paradise is an unincorporated town and census-designated place (CDP) in Clark County Nevada United States adjacent to the city of Las Vegas. The population was 231858 as of 2017 making it the most populous CDP in the United States. As an unincorporated town it is governed by the Clark County Commission with input from the Paradise Town Advisory Board.,LOCATION
The University of Oregon (also referred to as UO U of O or Oregon) is a public flagship research university in Eugene Oregon. Founded in 1876 the institution's 295-acre campus is along the Willamette River. Since July 2014 UO has been governed by the Board of Trustees of the University of Oregon.,LOCATION
Ericsson Globe originally known as Stockholm Globe Arena and commonly referred to in Swedish simply as Globen (pronounced [ˈɡlǔːbɛn] (listen); "the Globe") is an indoor arena located in Stockholm Globe City Johanneshov district of Stockholm Sweden.,LOCATION
Dresden ( German: [ˈdʁeːsdn̩] (listen); Upper and Lower Sorbian: Drježdźany; Czech: Drážďany; Polish: Drezno) is the capital city of the German state of Saxony and its  second most populous city following only Leipzig. It is the 12th most populous city of Germany the fourth largest by area (following only Berlin Hamburg and Cologne) and the third most populous city in the area of former East Germany following only (East) Berlin and Leipzig. Dresden is contiguous with Freital Pirna Radebeul Meissen and Coswig and its urban area has around 780000 inhabitants making it the largest in Saxony.,LOCATION
Jefferson County is one of the 64 counties in the U.S. state of Colorado. As of the 2010 census the population was 534543 making it the fourth-most populous county in Colorado. The county seat is Golden and the most populous city is Lakewood.,LOCATION
Carnegie Hall ( but more commonly ) is a concert venue in Midtown Manhattan in New York City United States located at 881 Seventh Avenue occupying the east side of Seventh Avenue between West 56th Street and West 57th Street two blocks south of Central Park.,LOCATION
Indiana University Bloomington (IU Bloomington IU or simply Indiana) is a public research university in Bloomington Indiana. It is the flagship institution of the Indiana University system and with over 40000 students its largest university.Indiana University is a "Public Ivy" university and consistently ranks in the top 100 national universities in the U.S. and among the top 50 public universities. It is a member of the Association of American Universities and has numerous schools and programs including the Jacobs School of Music the Luddy School of Informatics Computing and Engineering the O'Neill School of Public and Environmental Affairs the Kelley School of Business the School of Public Health the School of Nursing the School of Optometry the Maurer School of Law the School of Education the Media School and the Hamilton Lugar School of Global and International Studies.As of Fall 2017 43710 students attend Indiana University.,LOCATION
Olympia is the capital of the U.S. state of Washington and the county seat and largest city of Thurston County. European settlers claimed the area in 1846 with the Treaty of Medicine Creek initiated in 1854 and the Treaty of Olympia initiated in January 1856.Olympia was incorporated as a town on January 28 1859 and as a City in 1882. The population was 46479 as of the 2010 census making it the 24th largest city in the state.,LOCATION
Rome (Latin and Italian Roma [ˈroːma] (listen)) is the capital city and a special comune of Italy (named Comune di Roma Capitale). Rome also serves as the capital of the Lazio region. With 2879728 residents in 1285 km2 (496.1 sq mi) it is also the country's most populated comune.,LOCATION
A music festival is a community event oriented towards live performances of singing and instrument playing that is often presented with a theme such as musical genre (e.g. blues folk jazz classical music) nationality locality of musicians or holiday.,EVENT
Woodstock '99 (also called Woodstock 1999) held July 22–25 1999 was the second large-scale music festival (after Woodstock '94) that attempted to emulate the original Woodstock festival of 1969. Like the previous Woodstock festivals it was held in upstate New York this time in Rome (roughly one hundred miles (160 km) from the site of the original event) and the attendance was approximately 400000 over four days.,EVENT
The Columbine High School massacre was a school shooting and attempted bombing that occurred on April 20 1999 at Columbine High School in Columbine Colorado United States. The perpetrators twelfth grade (senior) students Eric Harris and Dylan Klebold murdered 12 students and one teacher. Ten students were killed in the school library where the pair subsequently committed suicide.,EVENT
Yoyo A Go Go usually abbreviated to Yoyo and often typeset in various ways was an independent music festival in Olympia Washington first held in 1994 and followed by successor festivals in 1997 1999 and 2001. Five- and six-day concert marathons featured dozens of punk and indie rock acts stacked back to back as well as a variety of associated entertainment and small-scale local retail. The concerts took place at the historic Capitol Theater and showcased performers from the local Olympia music scene while also including national and international artists.,EVENT
Denmark has participated in the Eurovision Song Contest 48 times making its first appearance in 1957. Having competed in ten consecutive contests until 1966 Denmark was absent for eleven consecutive contests from 1967 to 1977. Since 1978 it has been absent from only four contests.,EVENT
The 2000 Democratic National Convention was a quadrennial presidential nominating convention for the Democratic Party. The convention nominated Vice President Al Gore for president and Senator Joe Lieberman from Connecticut for vice president. The convention was held at the Staples Center in Los Angeles California from August 14 to August 17 2000.,EVENT
The Eurovision Song Contest 2000 was the 45th edition of the annual Eurovision Song Contest. It took place in Stockholm Sweden following Charlotte Nilsson's win at the 1999 contest in Jerusalem Israel with the song "Take Me to Your Heaven". The contest was held on 13 May 2000 at the Globe Arena.,EVENT
Protest activity against the Vietnam War took place prior to and during the 1968 Democratic National Convention.,EVENT
The Coachella Valley Music and Arts Festival (commonly called Coachella or the Coachella Festival) is an annual music and arts festival held at the Empire Polo Club in Indio California in the Coachella Valley in the Colorado Desert. It was co-founded by Paul Tollett and Rick Van Santen in 1999 and is organized by Goldenvoice a subsidiary of AEG Presents. The event features musical artists from many genres of music including rock pop indie hip hop and electronic dance music as well as art installations and sculptures.,EVENT
The Roskilde Festival is a Danish music festival held annually south of Roskilde. It is one of the largest music festivals in Europe and the largest in Northern Europe. It was created in 1971 by two high school students Mogens Sandfær and Jesper Switzer Møller and promoter Carl Fischer.,EVENT
The Berlin International Film Festival (German: Internationale Filmfestspiele Berlin) usually called the Berlinale is a film festival held annually in Berlin Germany. Founded in West Berlin in 1951 the festival has been held every February since 1978 and is one of the "Big Three" alongside the Venice Film Festival and Cannes Film Festival. Since 2019 Mariette Rissenbeek serves as the executive director of the festival while Carlo Chatrian is the artistic director.With around 300000 tickets sold and 500000 admissions each year it has the largest public attendance of any annual film festival.,EVENT
An MTV Video Music Award (commonly abbreviated as a VMA) is an award presented by the cable channel MTV to honor the best in the music video medium. Originally conceived as an alternative to the Grammy Awards (in the video category) the annual MTV Video Music Awards ceremony has often been called the "Super Bowl for youth" an acknowledgment of the VMA ceremony's ability to draw millions of youth from teens to 20-somethings each year. By 2001 the VMA had become a coveted award.,EVENT
Twenty Four Seven Tour  (also known as the Twenty Four Seven Millennium Tour and 24/7 World Tour) is the eighth concert tour by American singer Tina Turner. The tour promoted her final studio album Twenty Four Seven. Although she stated this numerous times in the past Turner announced that feat would be her final "show stopping" tour.,EVENT
Terrastock is a music festival organised periodically by Phil McMullen formerly editor of the Ptolemaic Terrascope and since 2005 the publisher of the Terrascope Online website.  The event typically features independent bands playing psychedelic rock.,EVENT
The Oops!... I Did It Again Tour was the third concert tour by American recording artist Britney Spears. It supported her second studio album Oops!...,EVENT
The Doomsday Festival was a two-day music festival held August 19–20 2000 at the Ostragehege in Dresden Germany. The event featured a wide range of bands but is best known as the occasion of Skinny Puppy's reunion concert which closed the festival and was recorded for the live album Doomsday: Back and Forth Series 5: Live in Dresden (2001). It was Skinny Puppy's first concert since 1992 first in Europe since 1988 and first ever in the former East Germany.,EVENT
